IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
4907,81,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4908,82,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4909,83,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4910,84,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4911,88,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4912,87,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4913,86,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4914,85,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4915,92,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4916,91,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4472,4363,1,,&,#f,g?,,184,,2d,2d,2c,a,2d,2d,h,h,h,h,a,a,g,h,2d,2d,,
4473,4364,1,,&,#f,g,,196,,h,a,g,f,e,d,a,a,a,g,f,e,d,d,g,g,,
4474,4365,2,,&,#f,g,,,,h,g,g,g,f,e,d,d,a,f,h,d,2d,a,g,g,,
4475,4365,1,,&,#f,g,,,,h,g,g,g,f,e,d,d,a,f,d,d,h,a,g,g,,
4476,4366,1,,&,#f,h/g,,,,2d,2e,2d,2g,2g,2e,2d,2d,2e,2d,a,2d,2d,2c,h,h,,
4477,4367,1,,&,,c?,,,,a,f,e,e/g,a,f,e,[e/]g,a,f,e,e,e,d,d,[d/]g,,
4478,4368,1,,&,bh;be;ba;bd,e/f,,,,2c,h,a,f,a,f,e,e,f,f,h,g,a,f,f,f,,
4479,4368,2,,&,bh;be;ba;bd,e/f,,,,2c,h,a,f,a,f,e,e,f,f,h,g,a,f,e,e,,
5028,4392,1,,&,,c;g,,,,2c,2c,2c,2d,2c,a,g,g,2c,h,a,g,2c,2c,2c,2c,,LISATUD
4674,400,2,,&,#f;#c;#g;#d,e,,,,h,h,a,f,h,h,f,f,g,g,d,d,e,e,e,e,,
4675,4580,1,,&,#f,g,,1/4=84,,h,h,h,2c,2d,h,h,h,2c,a,a,a[f],h,g,g,g,,
4676,409,2,,&,#f,g,,,,2d,2d/2c,h,a,h,a,2d,2d,2d,2c,h,a,a,g,g,g,,
4678,419,2,,&,,c,,,,e,g,g,g,a,d,f,e,c,c[e],e,d,f,1h,c,c,,
4679,426,2,,&,,c,,,,2e,2c,2e,2d,2c,g,g,g,2d,h,2d,2e/2d,2c,2c,2c,2c,,
4680,427,2,,&,#f,g,,1/4=100,,h,h,g,d,f,g,e,d,2c,2c,a,f,h,h,g,g,,
4681,427,3,,&,bekaar  ???,c,,,,g,e,g,g,e,d,d,a,g,e,f,d[f],c,c,c,e,See viis oli kaardi pöördel nurksulgudes. Fon. on: [noot]   Vaata Fon. 239c.,
